nombre,temporada,posicion,edad,partidos,goles,asistencias,pases_precisos,rating,etiqueta
Juan Pablo Caffa,2002,Left Midfield,17,1,0,0,87.7,6.0,0
Gastón Sangoy,2002,Right Winger,17,2,0,0,76.2,6.0,0
Juan Román Riquelme,2001,Attacking Midfield,23,26,10,14,84.4,8.6,1
Guillermo Barros Schelotto,2001,Centre-Forward,28,28,10,11,72.1,8.2,1
Walter Gaitán,2001,Attacking Midfield,24,28,9,4,85.0,7.6,1
Marcelo Delgado,2001,Centre-Forward,28,33,8,7,77.6,7.6,1
Ariel Carreño,2001,Centre-Forward,22,19,5,3,75.1,7.4,1
Antonio Barijho,2001,Centre-Forward,24,6,2,0,67.4,7.1,0
Rolando Schiavi,2001,Centre-Back,28,37,5,1,78.7,6.9,0
Christian Giménez,2001,Attacking Midfield,20,31,4,1,80.3,6.9,0
Sebastián Battaglia,2001,Defensive Midfield,20,27,3,1,86.8,6.8,0
Nicolás Burdisso,2001,Centre-Back,20,33,2,2,78.5,6.7,0
Jorge Martínez,2001,Right-Back,28,23,2,1,79.7,6.7,0
Clemente Rodríguez,2001,Left-Back,19,33,0,4,87.5,6.7,0
Omar Pérez,2001,Attacking Midfield,20,27,0,5,81.2,6.7,0
Carlos Tévez,2001,Centre-Forward,17,16,2,1,77.2,6.7,0
José Calvo,2001,Right-Back,19,28,2,0,86.1,6.6,0
Cristian Traverso,2001,Centre-Back,29,37,1,0,79.0,6.6,0
Naohiro Takahara,2001,Centre-Forward,22,6,1,0,72.8,6.6,0
Roberto Abbondanzieri,2001,Goalkeeper,28,34,0,0,0.0,6.4,0
César González,2001,Centre-Back,19,11,1,0,81.0,6.4,0
Gustavo Pinto,2001,Central Midfield,22,27,0,0,83.1,6.4,0
Jorginho PaulistaJorginho Paulista,2001,Left-Back,21,11,0,1,84.1,6.3,0
Julio Marchant,2001,Right Midfield,21,10,0,1,89.1,6.3,0
Mauricio Serna,2001,Defensive Midfield,33,24,0,0,85.2,6.3,0
Óscar CórdobaÓ. Córdoba,2001,Goalkeeper,31,14,0,0,0.0,6.2,0
Willy CaballeroWilly Caballero,2001,Goalkeeper,19,4,0,0,0.0,6.1,0
Joel Barbosa,2001,Right-Back,18,9,0,0,87.7,6.1,0
Nahuel Fioretto,2001,Left Midfield,20,4,0,0,82.6,6.1,0
Javier Villarreal,2001,Right Midfield,22,9,0,0,86.6,6.1,0
Roberto Colautti,2001,Centre-Forward,19,3,0,0,76.6,6.0,0
Martín Palermo,2000,Centre-Forward,26,18,11,1,70.9,8.2,1
Juan Román Riquelme,2000,Attacking Midfield,22,41,13,12,86.0,8.0,1
Marcelo Delgado,2000,Centre-Forward,27,40,12,11,75.2,8.0,1
Guillermo Barros Schelotto,2000,Centre-Forward,27,30,11,5,68.8,7.8,1
Antonio Barijho,2000,Centre-Forward,23,28,9,4,69.8,7.6,1
Omar Pérez,2000,Attacking Midfield,19,29,6,0,80.2,7.0,1
Walter Gaitán,2000,Attacking Midfield,23,23,5,1,89.7,7.0,1
Jorge Bermúdez,2000,Centre-Back,29,39,5,1,81.7,6.9,0
Hugo Ibarra,2000,Right-Back,26,41,2,3,85.3,6.8,0
Matías Arce,2000,Central Midfield,20,7,1,1,88.3,6.8,0
Gustavo Barros Schelotto,2000,Central Midfield,27,14,2,1,82.9,6.8,0
Nicolás Burdisso,2000,Centre-Back,19,32,2,1,79.6,6.7,0
Christian Giménez,2000,Attacking Midfield,19,16,2,1,82.1,6.7,0
Aníbal Matellán,2000,Centre-Back,23,40,1,0,84.0,6.6,0
Mauricio Serna,2000,Defensive Midfield,32,37,1,1,85.2,6.6,0
Óscar CórdobaÓ. Córdoba,2000,Goalkeeper,30,37,0,1,0.0,6.5,0
Clemente Rodríguez,2000,Left-Back,18,28,1,1,87.5,6.5,0
Julio Marchant,2000,Right Midfield,20,29,0,2,88.7,6.5,0
Fernando Pandolfi,2000,Centre-Forward,26,16,1,1,71.7,6.5,0
Sebastián Battaglia,2000,Defensive Midfield,19,23,0,1,81.8,6.4,0
Gustavo Pinto,2000,Central Midfield,21,25,1,0,83.0,6.4,0
Roberto Abbondanzieri,2000,Goalkeeper,27,22,0,0,0.0,6.3,0
José Pereda,2000,Defensive Midfield,26,21,0,0,84.3,6.3,0
José Calvo,2000,Right-Back,18,12,0,0,79.6,6.2,0
Javier Villarreal,2000,Right Midfield,21,14,0,0,81.8,6.2,0
Hernán Medina,2000,Centre-Back,25,7,0,0,78.6,6.1,0
José Basualdo,2000,Central Midfield,37,8,0,0,86.1,6.1,0
Martín Andrizzi,2000,Left Midfield,23,1,0,0,87.1,6.0,0
Carlos Quiñónez,2000,Midfield,20,1,0,0,81.4,6.0,0
Sergio Guillermo,2000,Attack,20,1,0,0,67.6,6.0,0
Julio César Alcorse,2000,Centre-Forward,18,1,0,0,72.7,6.0,0
